"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Logout","0","0","Verify logging out and browsing back","0"
"0","","1","Logout","0","0","Verify logout from an Account from a single place after logging into it from different places","0"
"0","","0","Logout","1","0","Verify Logout option is not displayed under Right Column options before logging in","0"
"0","","0","Logout","1","0","Verify logging out and loggin in immediately after logout","0"
"0","","0","Logout","1","0","Verify Logout option is not displayed under 'Right Column' options before logging in","0"
"0","","0","Logout","1","0","Verify Logout option is not displayed under My Account menu before logging in","0"
"0","","0","Logout","1","0","Verify Account Logout page","1"
"0","","0","Logout","1","0","Verify the Application session status, after logging and closing the Browser without logging out","0"
"0","","0","login","1","0","verify login page","0"
"0","","0","Logout","1","0","Verify the UI of the Logout option and the Account Logout page","1"
"0","","0","Logout","1","0","Verify logging out by selecting logout option from right cloumm","0"
"0","","0","Logout","1","0","Verify the Logout functionality in all the supported environments","1"
"0","","0","Logout","2","0","Verify logging out by selecting Logout option from My Account dropdown","0"
