"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7615","Verify logging out and browsing back","","2026-08-31","failed","2026-08-31","","Logout","Verify logging out and browsing back",""
"","9377","Verify logout from an Account from a single place after logging into it from different places","","2026-08-31","failed","2026-08-31","","Logout","Verify logout from an Account from a single place after logging into it from different places",""
"","4824","Verify Logout option is not displayed under Right Column options before logging in","","2026-08-31","passed","2026-08-31","","Logout","Verify Logout option is not displayed under Right Column options before logging in",""
"","9308","Verify logging out and loggin in immediately after logout","","2026-08-31","passed","2026-08-31","","Logout","Verify logging out and loggin in immediately after logout",""
"","4247","Verify Logout option is not displayed under 'Right Column' options before logging in","","2026-08-31","passed","2026-08-31","","Logout","Verify Logout option is not displayed under 'Right Column' options before logging in",""
"","4510","Verify Logout option is not displayed under My Account menu before logging in","","2026-08-31","passed","2026-08-31","","Logout","Verify Logout option is not displayed under My Account menu before logging in",""
"","3255","Verify Account Logout page","","2026-08-31","unknown","2026-08-31","","Logout","Verify Account Logout page",""
"","10305","Verify the Application session status, after logging and closing the Browser without logging out","","2026-08-31","passed","2026-08-31","","Logout","Verify the Application session status, after logging and closing the Browser without logging out",""
"","7018","verify login page","","2026-08-31","passed","2026-08-31","","login","verify login page",""
"","8037","Verify the UI of the Logout option and the Account Logout page","","2026-08-31","passed","2026-08-31","","Logout","Verify the UI of the Logout option and the Account Logout page",""
"","7497","Verify logging out by selecting logout option from right cloumm","","2026-08-31","passed","2026-08-31","","Logout","Verify logging out by selecting logout option from right cloumm",""
"","3164","Verify the Logout functionality in all the supported environments","","2026-08-31","unknown","2026-08-31","","Logout","Verify the Logout functionality in all the supported environments",""
"","7085","Verify the Logout functionality in all the supported environments","","2026-08-31","passed","2026-08-31","","Logout","Verify the Logout functionality in all the supported environments",""
"","7133","Verify Account Logout page","","2026-08-31","passed","2026-08-31","","Logout","Verify Account Logout page",""
"","8900","Verify logging out by selecting Logout option from My Account dropdown","","2026-08-31","passed","2026-08-31","","Logout","Verify logging out by selecting Logout option from My Account dropdown",""
"","3010","Verify the UI of the Logout option and the Account Logout page","","2026-08-31","unknown","2026-08-31","","Logout","Verify the UI of the Logout option and the Account Logout page",""
"","7343","Verify logging out by selecting Logout option from My Account dropdown","","2026-08-31","passed","2026-08-31","","Logout","Verify logging out by selecting Logout option from My Account dropdown",""
